0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x3ACAA1947B9D56E5: To work with metal, your Sim will need to collect Scrap.  The junkyard is a great place to find Scrap!  If you build up enough inventing skill, you can also Detonate objects for Scrap.	→	To work with metal, your Sim will need to collect Scrap. The scrapyard is a great place to find Scrap! If you build up enough inventing skill, you can also Detonate objects for Scrap.
0x3ACAA1947B9D56E7: Sims can learn the sculpting skill by practicing on a sculpting station.  Purchase one from the Buy Mode catalog!	→	Sims can learn the sculpting skill by practicing on a sculpting station. Purchase one from the Buy Mode catalogue!
0x3AD19EF0385255A1: Rocks! From Space! Who could possibly chart their incredible journey to this world? Your Sim could, if they analyze enough rocks.	→	Rocks! From Space! Who could possibly chart their incredible journey to this world? Your Sim could, if they analyse enough rocks.
0x3AD5FE9514786944: It's a proud moment when your child graduates from school. It's almost like the honor is being bestowed on yourself!	→	It's a proud moment when your child graduates from school. It's almost like the honour is being bestowed on yourself!
0x3AF252D6BB0CC6DB: (From Theatre)	→	(From Cinema)
0x3B125D8BCE3659B2: For once, you’ve shown you’re good enough to not be picked dead last. The rookie year is hard though, especially with the manager tracking statistics and holding your losses against you. Train hard to win games, or prepare to pack your bags back to the minor leagues.	→	For once, you’ve shown you’re good enough to not be picked dead last. The rookie year is hard though, especially with the manager tracking statistics and holding your losses against you. Train hard to win matches, or prepare to pack your bags back to the lower divisions.
0x3B125D8BCE3659B3: The Minor Leagues are calling, so pack your lucky socks and “never washed” shorts, and head to the playing field. It’s important to keep your teammates’ feelings in mind. Remember, there’s no “I” in “team”.	→	The lower divisions are calling, so pack your lucky socks and “never washed” shorts, and head to the playing field. It’s important to keep your teammates’ feelings in mind. Remember, there’s no “I” in “team”.
0x3B125D8BCE3659B5: Peanuts! Popcorn! Hot meats! Hopefully your vocal chords can endure a bit of shouting, because as the Snack Hawker, you’ll be circumventing the stadium to peddle your delicious, often salty, and never healthy consumables daily. 	→	Chippies! Chocolate! Hot meats! Hopefully your vocal chords can endure a bit of shouting, because as the Snack Hawker, you’ll be circumventing the stadium to peddle your delicious, often salty, and never healthy consumables daily. 
0x3B125D8BCE3659BE: No longer content with a single sport, you’ve expanded your resume to include as many as your busy schedule allows. Few sports stars’ careers compare to yours, but then again, they aren’t Superstars. However, more games means more chances to lose, so don’t let the fame get in the way of your practice time.	→	No longer content with a single sport, you’ve expanded your CV to include as many as your busy schedule allows. Few sports stars’ careers compare to yours, but then again, they aren’t Superstars. However, more matches means more chances to lose, so don’t let the fame get in the way of your practice time.
0x3B3714D38D57BA4B: Hat Colors and Materials	→	Hat Colours and Materials
0x3B59B08D66184892: Declare “en garde!" to your neighbors with the Hilt and Foil Fence. Its reinforced ricasso helps protect the tang between each post and rail, enabling it to thrust and parry its way around your yard with relative ease.	→	Declare “en garde!" to your neighbours with the Hilt and Foil Fence. Its reinforced ricasso helps protect the tang between each post and rail, enabling it to thrust and parry its way around your yard with relative ease.
0x3B5C7FCFA357B842: Gnawing hunger couldn't possibly be healthy for a relationship with your cat.  Feed {0.SimFirstName} before {MA.he}{FA.she} starts to dislike {MA.his}{FA.her} owners.	→	Gnawing hunger couldn't possibly be healthy for a relationship with your cat. Feed {0.SimFirstName} before {MA.he}{FA.she} starts to dislike {MA.his}{FA.her} owners.
0x3B6D89CFA3663C00: Gnawing hunger couldn't possibly be healthy for a relationship with your dog.  Feed {0.SimFirstName} before {MA.he}{FA.she} starts to dislike {MA.his}{FA.her} owners.	→	Gnawing hunger couldn't possibly be healthy for a relationship with your dog. Feed {0.SimFirstName} before {MA.he}{FA.she} starts to dislike {MA.his}{FA.her} owners.
0x3B7AF3943A8D00B6: As a Rock Star, you support yourself! Throw concerts at the theater and stadium to make big bucks.	→	As a Rock Star, you support yourself! Throw concerts at the cinema and stadium to make big bucks.
0x3B8B7816009067CA: Licorice	→	Liquorice
0x3BA448933880FD53: Molding Young Minds	→	Moulding Young Minds
0x3BAA05EB1531FE13: Analyze Harvestable	→	Analyse Harvestable
0x3BBE81BFF69F818D: Enter an Advanced Racing Competition  	→	Enter an Advanced Racing Competition 
0x3BBF42F8A59B249B: Nothing tells the world that you’re not messing around like putting studs on something. Who knows why those little metal dots hold such power? It’s a mystery to even the smartest of Sims. Make a studly statement with the U-Stud Armoire – perfect for storing all your extra studs. Holds up to 500 pounds!	→	Nothing tells the world that you’re not messing around like putting studs on something. Who knows why those little metal dots hold such power? It’s a mystery to even the smartest of Sims. Make a studly statement with the U-Stud Armoire – perfect for storing all your extra studs. Holds up to 200 kilograms!
0x3BD3B6A043C8FB40: The mayor’s office is promoting a new initiative to improve grades and school performance to appeal to families thinking about moving to town. The mayor guarantees a cash reward to every student that makes it onto the honor roll. That reward can be yours if you can maintain good grades!	→	The mayor’s office is promoting a new initiative to improve grades and school performance to appeal to families thinking about moving to town. The mayor guarantees a cash reward to every student that makes it onto the honour roll. That reward can be yours if you can maintain good grades!
0x3BD893B69EFE5869: Eye Color Presets	→	Eye Colour Presets
0x3BDD4CDEE1A9E1CF: Whatever it is, this place appears to be abandoned. Nothing but tall stone walls with intricate, yet ancient looking symbols etched in. There is power to the big, brass lights and the faint growl of a steam engine can be heard in the distance.  An observation deck overseeing the room that {0.SimName} occupies is up above, though it appears empty. 	→	Whatever it is, this place appears to be abandoned. Nothing but tall stone walls with intricate, yet ancient looking symbols etched in. There is power to the big, brass lights and the faint growl of a steam engine can be heard in the distance. An observation deck overseeing the room that {0.SimName} occupies is up above, though it appears empty. 
0x3BE055E8B09A9181: The cruel taskmaster that is the treadmill is beckoning your Sim. The best cardio workout money can buy is available for purchase in the Buy Catalog.	→	The cruel taskmaster that is the treadmill is beckoning your Sim. The best cardio workout money can buy is available for purchase in the Buy Catalogue.
0x3C28D239E5C814D5: Those who sacrifice liberty for security deserve the Freedom Fence. Standing at exactly 1776mm tall, or close to it, this patriotic enclosure reminds your neighbors that they can take your yard, but they can never take your Freedom Fence!	→	Those who sacrifice liberty for security deserve the Freedom Fence. Standing at exactly 1776mm tall, or close to it, this patriotic enclosure reminds your neighbours that they can take your yard, but they can never take your Freedom Fence!
0x3C2C9C5971CC7EB9: We are gathered here today to honor a very talented member of our community. {0.SimFirstName} is the most brilliant inventor to ever detonate within the city limits of {TownName}. Both talented and prolific, {0.SimFirstName} has touched the lives of countless citizens through quirky widgets and powerful inventions. With the greatest of joy and pride I present the {1.String} to {0.SimFirstName}. Thank you for your tireless efforts to improve {TownName} through Inventing! Three cheers for {0.SimFirstName}!	→	We are gathered here today to honour a very talented member of our community. {0.SimFirstName} is the most brilliant inventor to ever detonate within the city limits of {TownName}. Both talented and prolific, {0.SimFirstName} has touched the lives of countless citizens through quirky widgets and powerful inventions. With the greatest of joy and pride I present the {1.String} to {0.SimFirstName}. Thank you for your tireless efforts to improve {TownName} through Inventing! Three cheers for {0.SimFirstName}!
